Car Model ,Review,Style,Comfort,Fuel Economy,Performance,Value for Money
1989 Honda Accord,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),5-rating,5-rating,4-rating,3-rating,3-rating
2017 Toyota Fortuner 2.7 VVTi,"exterior is very good looking and dashing. from interior, i should simply say as no match. in the most economical range, you can enjoy the best comfort of a sedan. the car if well maintained, will not give you the feeling of and old car. every gadget as in new cars is available.",5-rating,4-rating,3-rating,5-rating,5-rating
2017 Honda BR-V i-VTEC,Do you find this review helpful? YesNo Report (1 out of 2 people found this review helpful),4-rating,3-rating,3-rating,3-rating,5-rating
2017 Honda Civic Oriel 1.8 i-VTEC CVT,"Fantastic,stylish and aggressive exterior.Awesome Led lights(DRL) loads of chrome and very sleek lights with some character lines as well.Good Height,nice width and great length.Chamois(rust) and black interior which is inexpressible.Car is comfortable but would really appreciate more softer and comfy seats.Illuminated controls.Beautiful Interior.Amazing quality plastics and leather.Practical car with 7 seat capability and enough boot space.Good Acceleration and good economy 7 in city and 8-9 on highways (for an suv) ",3-rating,5-rating,5-rating,5-rating,3-rating
2017 Suzuki Cultus Auto Gear Shift,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,3-rating,3-rating,5-rating,2-rating
2008 Daihatsu Cuore CX Eco,"Best car in its segment. Actually it can also compared with some more costly car like Inova crista, xuv, etc. Comfortable, Safe, Smooth drive, Good mileage and 7 setter. Good for family use, picnic, tours and as office car. Did not have any issues with it. Got diesel version but feels like petrol. Before buying i had test driven all other equals but non was better then Honda BR-V. ",5-rating,5-rating,1-rating,5-rating,4-rating
2017 Audi A4 1.4 TFSI,Do you find this review helpful? YesNo Report (1 out of 2 people found this review helpful),3-rating,3-rating,5-rating,5-rating,3-rating
2017 Toyota Corolla Altis Automatic 1.6,Car is nice and well equiped but unfortunately build quality is poor. It is worse than even some other locally assembled cars like Corolla. Options like navigation are expensive but on the plus side it looks beautiful and ride is comfortable. Handling is nice too. Buying a Civic is a good purchase,5-rating,4-rating,5-rating,4-rating,4-rating
2017 Suzuki Wagon R VXL,Do you find this review helpful? YesNo Report (0 out of 1 person found this review helpful),3-rating,1-rating,5-rating,3-rating,4-rating
2017 Honda Civic,"Price of suzuki swift 1300 cc is less as compared to new cultus 1000 auto gear shift.It is better to buy swift instead of this expensive model. suzuki company should reduce price of cultus AGS below swift car, otherwise it is not attractive for customers. ",5-rating,5-rating,5-rating,4-rating,4-rating
2017 Honda City Aspire 1.3 i-VTEC,Do you find this review helpful? YesNo Report (3 out of 6 people found this review helpful),4-rating,5-rating,5-rating,2-rating,4-rating
2017 Suzuki Mehran VXR Euro II,"Exterior: As same as it was from 1990 Interior: Steering Lock and know immobilizer is add quality of work not found, not much space & comfort if we compare it with 660cc Japan assembled. Fuel Economy: Mehran is know for fuel economy but if it is compared with 660cc Japan assembled then there is a big question Ride Quality is very normal or poor. It is very funny “that a person who has no choice in local manufactured vehicles and forced to buy a very poor quality with high price vehicle with no accessories like mud flaps, floor mate, steering cover which are essentials”. Same brand from Japan has no issues, why?  More ",2-rating,1-rating,3-rating,3-rating,1-rating
2017 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (2 out of 3 people found this review helpful),1-rating,3-rating,3-rating,1-rating,5-rating
2017 FAW V2,"FAW V2 is really a Good car in terms of Safety aspects and Drive Pleasure. It has very Good and Powe full 1300cc engine with ABS+EBD Brakes. ABS Brakes are very helpful on emergency braking and EBD system balances the braking pressure on the Roads, this can safe the car passengers from collision and car skidding. Air Bags are also very good safety features. Its Top Speed is near to 160 KM and fuel average is also much better than 1300cc Toyota Corolla and Suzuki Swift, because its Engine is Euro-4 Standard. AC performance of V2 is also very good, and Car does not take any Jerk when we Switch On the AC on low or high speed. Some People say that it has wind noise issues on high speed , you know it is a low budget car not like Toyota Corolla or Honda Civic, but you see it saves the driver from running the car on High speed, Please do not drive your car above 100KM/hr, its is very dangerous in Pakistani roads. FAW V2 is a very safe and strong car, do not Under Estimate it. More ",3-rating,3-rating,1-rating,5-rating,5-rating
2017 Honda Civic Oriel 1.8 i-VTEC CVT,Do you find this review helpful? YesNo Report (3 out of 4 people found this review helpful),3-rating,1-rating,4-rating,5-rating,5-rating
2017 Suzuki Cultus VXR,"After 3 months of search at last I have owned this car 10 days ago and found its a superb car in this price range. Nice and fine quality interior and exterior. Fabulous performance, comfortable and given smooth drive. Its features are really means the value of money such as ABS & EBD brake, Electronic power steering, safety bags, front and rear fog lights, 3 levels of head beams adjustment, side mirrors adjustment auto control and much more. Road grip and control is awesome even at speed of 130Km/hour. Only a flaw is its fuel average which is 8Km/litter currently must be focused by company. But it will be good after tunings. Overall i am really happy to buy this jet car. Recommended to all good car finders who are searching for saloon car comfort in cheap price.  More ",1-rating,5-rating,5-rating,5-rating,3-rating
2017 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (3 out of 3 people found this review helpful),5-rating,4-rating,5-rating,5-rating,5-rating
2017 FAW X-PV Dual AC,"just bought the car. i have found this car to be the best in Pakistani assembled cars. Very stylish, smooth drive, very comfortable. If i compare it to corolla Altis i feel this car is far better than Altis. uUwill never repent on spending ur money on this item. ",5-rating,5-rating,4-rating,5-rating,3-rating
2017 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (1 out of 2 people found this review helpful),4-rating,5-rating,5-rating,5-rating,5-rating
2016 Honda City 1.3 i-VTEC,I bought cultus VXR 2017 white color in last week. Externally it is Stylish and have its body has good strength. Enough spacious to accommodate 5 passengers easily. Suitable for long drives as well as in city. Fuel economic. Comfortable. suspensions are very good. Gear position is very suitable. Lights are very stylish. Lovely car. Dashboard is good. Speedometer is digital and provide a lot of information. Also provide information about how many kms can it run with available fuel in tank. I recommend to buy this car.,5-rating,5-rating,5-rating,4-rating,5-rating
2017 Honda BR-V i-VTEC S,Do you find this review helpful? YesNo Report (4 out of 5 people found this review helpful),5-rating,4-rating,4-rating,3-rating,2-rating
2017 FAW V2 VCT-i,"GREAT LOOKS, SPACIOUS INTERIOR, VIP PERFORMANCE, EQUIPPED WITH ALL MODERN FACILITIES WITH SAFETY STANDARDS, FUEL ECONOMY IS SLIGHTLY LESS BUT STILL BETTER THAN AVERAGE OF OTHER 1300CC CARS, GREAT VALUE FOR MONEY. I WILL MUST BUY THIS CAR IN NEAR FUTURE",5-rating,5-rating,5-rating,5-rating,5-rating
2017 Suzuki Swift DLX 1.3,Do you find this review helpful? YesNo Report (3 out of 5 people found this review helpful),5-rating,5-rating,5-rating,5-rating,5-rating
2014 Honda N Box Slash G L Package,Exterior was is gud and interior was awesome flue avr.16.00 drive is good i like this care because they have many options in Honda n series this car is top of the line :-).  jo bhi es car ko lena chata hai wo soche na n box and n one se ye best hai eske ilawa es mein option sab se zayada hain fule bhi acha karti hai .,5-rating,5-rating,4-rating,4-rating,4-rating
2017 Honda BR-V,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,4-rating,4-rating,4-rating,2-rating
2017 Suzuki Cultus EURO II,"Pathetic Fuel Economy especially on motorway. Accelerator of this good for nothing vehicle needs to pressed down to the floor to get it above 100Km/hr. As a result of relatively more pressure to get it up to 120Km/hr, the fuel consumption / liter is approximately around 10Km/l which is bad very bad indeed plus costs you hell of an amount as compared to other vehicles from Toyota or even from Honda itself.  Interior of car is just acceptable, with no options like push start, Sunroof , and stylish dashboard display it is not value for money, infact its absolute waste of money. More ",4-rating,4-rating,4-rating,2-rating,2-rating
2017 Honda City Aspire Prosmatec 1.5 i-VTEC,Do you find this review helpful? YesNo Report (1 out of 3 people found this review helpful),4-rating,4-rating,1-rating,2-rating,5-rating
2017 Suzuki Mehran VXR Euro II,"Shape is bit unbalanced, price is more than high, material quality is simply pathetic, never recommended to buy in this price, ac is not functional at all speeds, abs n power windows variant price is more than 14 lac, totally unjustified, lot more options in this price",4-rating,3-rating,2-rating,2-rating,2-rating
2017 Suzuki Cultus VXL,Do you find this review helpful? YesNo Report (1 out of 2 people found this review helpful),3-rating,1-rating,2-rating,2-rating,1-rating
2017 FAW V2 VCT-i,"I bought honda city aspire prosmatec 1.5 it is much better than gli and xli because its engine is bigger than gli,city have good features which are not available in gli and xli like power windows not in xli , remote key system not in xli city also have android system , wooden panelling and leather seats . In exterior city have chrome handles,door protecters and shark fin antena . Fuel average of city is also very good I get 15 to 16 in local and 16 to 17 in highways . Suspension of corolla is better but quality , handling and brakes of honda are better than corolla More ",3-rating,2-rating,2-rating,4-rating,5-rating
2017 Honda Civic Oriel 1.8 i-VTEC CVT,Do you find this review helpful? YesNo Report (4 out of 6 people found this review helpful),1-rating,2-rating,2-rating,5-rating,3-rating
2010 Toyota Corolla XLi VVTi,No proper finshing. Quilty controler failed. Without quality checking they are launched of Suzuki Mehran. I m not satisfied on quality. Very ruff Mehran. I proof it. No compromise on quality. Plz check the quality I requested to quality manager before launched in markeet. ,2-rating,3-rating,2-rating,3-rating,5-rating
2017 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),2-rating,2-rating,4-rating,2-rating,5-rating
2017 Suzuki Cultus VXR,Price is too High but fuel economy is good performance is low only due to ac not working fine when you drive 80km PH i am sure it will hard to get a good resale price otherwise I am big fan of Suzuki fuel economy Overall v good car but it should be between 10 to 11 lacs.Far better than old ,2-rating,2-rating,4-rating,2-rating,5-rating
2017 Suzuki Wagon R VXL,Do you find this review helpful? YesNo Report (0 out of 3 people found this review helpful),3-rating,2-rating,5-rating,1-rating,4-rating
2015 Audi A5,Interior.Nice but not super. Styling.Is normal not so sporty. Techs are just cosiderable. Led lamps are good. Pickup of the car is also good. Average is decent. Cabin noise is controlled. Ground clearance is bit low. Driving this car is an amazing feeling.,4-rating,5-rating,5-rating,5-rating,4-rating
2016 FAW V2,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,4-rating,5-rating
2017 Toyota Aqua G,"I bought this car brand new in Feb 2016 from Faisalabad. Car is awsome to drive, its power steering really means power steering. Turning Radius is 4.75m which helps u in driving in narrow streets and road turns. AC is really good.Suspension is feeling some how noisy, I think it's because of gaps in the body design. Very good road grip on highways I have dirven up to 160 at Motorway and its aero dynamic shape also helps on high mileage. Mileage depends on driving style rpm , I got it 15-16 on highways and 10-13 in local. I have drive 65000 KM. No vibration specially when buses cross u on high speed. ABS brakes means a lot on highway and Motorways It has good cabin space.. Trunk is awsome u can easily put two big bags in it and lot many things.Interior and other features like sound system is also fine as few ppl say that bad plastic is used are totally wrong. Interior is good but full Matt due to some people say bad plastic, not so bad as looks. More ",5-rating,5-rating,4-rating,5-rating,3-rating
2016 Suzuki Alto X,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),5-rating,4-rating,4-rating,5-rating,3-rating
2016 Honda City Aspire 1.3 i-VTEC,"The Toyota Corolla is the tenth generation of cars sold by Toyota under the Corolla nameplate. Introduced in late 2006, this series was replaced in 2012 in Japan, with North American model replaced in late 2013, and an early 2014 launch for most other markets. The Toyota Auris replaces the Corolla hatchback in Japan and Europe, but is still badged Corolla in Australia and New Zealand.",4-rating,5-rating,5-rating,4-rating,5-rating
2017 Toyota Land Cruiser,Do you find this review helpful? YesNo Report (0 out of 2 people found this review helpful),5-rating,4-rating,5-rating,3-rating,5-rating
2017 Honda BR-V,"good car. The Honda N-Box is a kei car produced by Honda for the Japanese market.[1] Together with the Honda N-One, it is part of a renewed lineup of Kei class city cars. The use of the letter ""N"" in the name was previously used by Honda for the late 1960s and 1970s Honda N360.",5-rating,5-rating,3-rating,4-rating,5-rating
2017 Honda Civic Turbo 1.5 VTEC CVT,Do you find this review helpful? YesNo Report (0 out of 1 person found this review helpful),4-rating,5-rating,4-rating,3-rating,5-rating
2017 Suzuki Cultus,The dimensions for the Corolla sold in Japan are smaller than vehicles made for export so as to remain in compliance with Japanese government regulations concerning exterior dimensions and engine displacement. The new Corolla has now grown slightly longer for the export models ,5-rating,4-rating,3-rating,3-rating,2-rating
2013 Suzuki Swift,Do you find this review helpful? YesNo Report (0 out of 1 person found this review helpful),5-rating,3-rating,4-rating,5-rating,2-rating
2017 FAW V2 VCT-i,"It is a stylish car and I love it so much. It is too much comfortable and powerful. The interior of the car is so beatiful and it has advanced technology. And morever, the price of the car is so costly but it is my dream that one day I will get it. My favourite car Toyota land cruiser V8 ZX 2017 model",1-rating,4-rating,4-rating,5-rating,5-rating
2017 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,3-rating,3-rating,5-rating,5-rating
2017 Suzuki Cultus,"This always an buety beast it has buetiful extirior intirior ultra amazing performance smooth , ultra grip and superb pickup bueaty beast easily reachable 180 kmh digital information meter stylish speedo meter amazing stereo ultra and clear sound . ",5-rating,5-rating,5-rating,5-rating,5-rating
2017 Audi A5 1.4 TFSI Sportback,Do you find this review helpful? YesNo Report (3 out of 4 people found this review helpful),5-rating,5-rating,5-rating,5-rating,5-rating
2006 Toyota Duet,"The dynamic look, excellent handling, superb drive, improved handling and great pickup even with 1.4 Engine, A must buy car for Audi Lovers. Suleman. The dynamic look, excellent handling, superb drive, improved handling and great pickup even with 1.4 Engine, A must buy car for Audi Lovers. Suleman",5-rating,5-rating,5-rating,5-rating,3-rating
2008 Mitsubishi I,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,5-rating,3-rating
2017 Honda BR-V,"Duet is excellent car and fuel efficiency excellent city 15 & long 17 tuf car best for Pakistanis roads all fiture are in this car air bags, auto , key less auto doors etc I have use this car no problem obseved this car drive is like luxury car new spare are available in big city's chilled ac . ",5-rating,5-rating,5-rating,5-rating,2-rating
2016 Honda City 1.3 i-VTEC,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,5-rating,5-rating,3-rating,2-rating
2017 Audi A3 1.2 TFSI Design Line,Best car smoth nd sailant car supention very good 4 door speekar key less entry push start full new senser function remote distance door open door Destin automatic door lok Diriver hve remote than car start good sestem. Many mooor functions seats heater ,5-rating,5-rating,4-rating,5-rating,4-rating
2017 Suzuki Cultus VXR,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,3-rating,2-rating
2017 FAW V2 VCT-i,As a whol great a great combintion of interior exterior i lov it smzaing drive with road grip fuel effecient ac chill roomy stylish head lights indicators are fine front view mirror good great made by honda i lov it really a good economic car brv a,5-rating,4-rating,3-rating,5-rating,5-rating
2017 Suzuki Cultus,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,4-rating,3-rating,2-rating,5-rating
2016 Suzuki Bolan,This is very nice car i didnt buy it but i drive this car honda is the papular company in pakistan it give peoples best car honda car have a good fuel eficency and comfort drive and CD player lether seats and power streing power brakers and power windows,2-rating,5-rating,5-rating,2-rating,3-rating
2014 Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,Do you find this review helpful? YesNo Report (1 out of 4 people found this review helpful),4-rating,3-rating,3-rating,2-rating,5-rating
2014 Toyota Passo + Hana 1.0,Exterior is this car is good but not much arrow dynamic. but its good to have factory fitted fog lamps in front bumper. one more thing which impresses me that this car gets parked easily anywhere. Interior of this car is awesome. It got traction control and echo idling and more over it got climate control Ac in it which doesn't come in any car of this price range. Sofa seats makes you feel like your sitting in your drawing room and i mean it due to lot of space in the car. Fuel economy of this car is not much impressive then i thought. but still it gives you around 10 to 12Km/l with ac. on long drives it reaches to 15km/l with ac. Ride and handling is 10/10. because road grip is to strong . might be due to ABS brake system.  My final Words : Great and very impressive car in this class. also really need to mention here that spare parts and all services of car can be done thru toyota authorised dealership.  More ,3-rating,5-rating,2-rating,4-rating,4-rating
2017 Suzuki Vitara GL+ 1.6,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,2-rating,4-rating,4-rating,5-rating
2016 FAW V2,"Exterior. Very sporty and muscular. Interior: I personally feel the spacious interior of the Vitara redefines Compact SUV comfort and driving intelligence, with a high level of finish throughout. Has got an excellent all round view and a high driving position Performance: It is extremely responsive car just need to floor the gas pedal. In Sports mode the car is very agile and with plenty of oomph.....Pedal shifters are a joy to use. The engine is ""Very Capable"". AllGrip (4WD) The all new Vitara comes with ALLGRIP, Suzuki’s fully integrated 4WD system, that maximizes road grip. One can choose from four driving modes: ‘Auto’, ‘Sport’, ‘Snow’ and ‘Lock with one turn of the dial.. This system lets you rediscover what the compact SUV was always designed for: all-out adventure Great fuel economy for such a capable car. Overall, I am in love with this car and feel thrilled and excited whenever I am behind wheel. Once in Vitara you feel like sitting in a much more luxurious car.  More ",2-rating,4-rating,4-rating,5-rating,5-rating
2016 FAW V2,Do you find this review helpful? YesNo Report (3 out of 3 people found this review helpful),4-rating,4-rating,4-rating,5-rating,5-rating
2016 Toyota Hilux Revo V Automatic 3.0,"Good looking. I drove it not only locally in Lahore but many times Lahore to Islamabad on G.T. Road and also on Motorway. I also visited Shogran, Kaghan and Naran Valley in the month of May this year with my family. It gave excellent performance all the way and my family enjoyed it very much. Before Faw V-2, I used Faw XPV (2014) 1000 cc van which was also fine and I purchased V2 in the light of best experience of XPV. No doubt, it is an excellent car. ",4-rating,5-rating,5-rating,5-rating,5-rating
2015 Honda N Wgn G Turbo,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,4-rating,5-rating,5-rating,3-rating
2017 Suzuki Wagon R,"Good looking. I drove it not only locally in Lahore but many times Lahore to Islamabad on G.T. Road and also on Motorway. I also visited Shogran, Kaghan and Naran Valley in the month of May this year with my family. It gave excellent performance all the way and my family enjoyed it very much. I Before Faw V-2, I used Faw XPV (2014) 1000 cc van which was also fine and I purchased V2 in the best experience of XPV. ",5-rating,5-rating,5-rating,5-rating,3-rating
2010 Toyota Corolla XLi VVTi,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),4-rating,5-rating,5-rating,5-rating,4-rating
2012 Suzuki Swift DLX 1.3,I like this car this is nice car black collor very perfect enjin and this very conftabel i like it. So i want this car here is very fase drivng this full atuo and sun rof i dont konw what i am telling you but like it and very nice this car i want this car,5-rating,5-rating,5-rating,5-rating,4-rating
2017 Honda Civic,Do you find this review helpful? YesNo Report (0 out of 2 people found this review helpful),5-rating,5-rating,4-rating,5-rating,5-rating
2017 Suzuki Wagon R,"the outer look of the the car is really stylish as compared with other 660cc hatch backs . especially the tail lights . Although the interior of the car is not that stylish as compared with all other models of Honda cars. Even then the interior is wide. the fuel economy is really good although the price ,Ok compared with other 660cc , But the performance of this car is really good as its turbo.",5-rating,5-rating,5-rating,4-rating,5-rating
2017 Honda BR-V i-VTEC S,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),5-rating,5-rating,5-rating,3-rating,5-rating
2017 Honda BR-V,Good exterior and interior ...... Best style ...... A good duv for middle class family .......... It is a car in which a medium size family can fit entirely ...... Features are also Good ......... Like centeral locking but missing the push start ...........,5-rating,4-rating,3-rating,5-rating,4-rating
2017 Suzuki Wagon R VXL,Do you find this review helpful? YesNo Report (0 out of 1 person found this review helpful),4-rating,3-rating,5-rating,4-rating,5-rating
2014 Toyota Vitz F 1.0,I bought this card in June 2017 and i have been driving it for last few months and found it very comfortable. Comparing it with other Japanese card it is a much batter option if we talk about after sale service and parts. Fuel average is good and getting batter day by day. Words of mouth suggest that it will reach to 18 KM/H with in city. Car interior is very attractive specially of VXL variant. Driving pleasure is there and from inside it gives touch of a luxury car and overall i am satisfied with my selection because in this price range this is the best option. More ,3-rating,5-rating,4-rating,5-rating,4-rating
2017 Suzuki Mehran,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,4-rating,4-rating,5-rating,1-rating
2017 FAW V2 VCT-i,just bought a month ago. Every thing is upto the mark except ground clearance. Ground clearance is ok for 5 normal persons but for above 5 or even 5 heavy persons it hits the speed breakers. Fuel consuption is 18km/l in long drive and 15km/l in city with AC. I got side mirror damaged two times and i got experience that parts are easily available but a little expensive. Over all my experience is awesome. Best car with style for small family.,4-rating,4-rating,5-rating,4-rating,5-rating
2011 Daihatsu Esse,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),3-rating,4-rating,5-rating,4-rating,3-rating
2012 Daihatsu Mira ES,exterior is ugly perfomance is very poor this car has same shape and functions from 1997-- 2017 no changes had been made build quality is very poor steering wheel is big and hard as much as a truck brakes are fail i would prefer to buy a japanese 660cc old model car rather than wasting your money on 2017 suzuki mehran even a richshaw is better than mehran,4-rating,5-rating,4-rating,1-rating,3-rating
2015 Toyota Corolla GLi 1.3 VVTi,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),4-rating,5-rating,4-rating,1-rating,2-rating
2013 Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,"Exterior: Excellent, Solid and Stylish. Interior: Stylish, Reliable and very much Comfortable. Fuel Economy: I've driven it only within City so during office hours daily 70KM drive it gives me easily 13.5 KMPL on Total High Super+ and YES with continues AC. I would recommend this overt any Suzuki hatch back very truly. love V2",5-rating,5-rating,4-rating,5-rating,1-rating
2017 Honda Civic Turbo 1.5 VTEC CVT,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),5-rating,4-rating,1-rating,5-rating,3-rating
2017 Suzuki Cultus,The car doesn't look that good but is extremely cheap to buy. Ride is comfortable and suspension is good as well. Ground clearence is low but drive is fine. I hope that people appreciate the car rather that criticizing the way it looks. It is a good choice if one is in the market for a 660cc car,5-rating,4-rating,1-rating,3-rating,1-rating
2017 Suzuki Mehran VX Euro II,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,4-rating,1-rating,3-rating,1-rating
2017 Honda BR-V i-VTEC S,Extremely happy to own this car as none in market is good as this is. Went to High mountain of AJK with 8 family members and luggage and went absolutely stunning with AC. Very comfortable driving . Just Arm rest is required definitely otherwise a classic vehicle in this price.,5-rating,5-rating,5-rating,5-rating,5-rating
2017 Toyota Corolla Altis Automatic 1.6,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,5-rating,5-rating,5-rating,5-rating
2013 Toyota Corolla,"It is simply awesome. Reliable body, good road grip, excellent fuel economy, marvellous suspension. Just need to improve music system. May be installed some good one. Cruise control should b installed even in GLI Or minimum 1.6 Altus. Over all good car.",5-rating,5-rating,5-rating,5-rating,3-rating
2007 Toyota Premio,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,5-rating,5-rating,5-rating,5-rating
2010 Honda Insight,Great family car with good exterior and luxuries interior with wooden trims Performance is also pretty good throttle response is great as it downshifts fastly Fuel economy is totally driver dependent i get 13 kmpl in city with eco mode and hypermiling tricks But i do get 10 when pushing car hard Suspension is soft yet ground clearance is just fine Very economical and comfy on long drives with cruise onn it can give you some 17kmpl at 110km,5-rating,4-rating,5-rating,4-rating,5-rating
2005 Honda City,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,3-rating,5-rating
2016 FAW V2,"very best compact home car which is suitable both for local and long drives the performance and shape is damn cool which makes it super sophisticated stylish. I think premio is the only car which will fullfil your demands either by speed,econmy or shape.",4-rating,5-rating,4-rating,5-rating,5-rating
2001 Hyundai Santro Plus,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),5-rating,5-rating,4-rating,5-rating,5-rating
2001 Hyundai Santro Plus,"Cool and sporty look from both front and back ,spacious, comfortable, safe, fuel economical,powerful engine, superb drive and on sports mode u can challenge any 1800 cc car normal car.chill climate ac and many more advance features like traction control, paddle shifters auto adjustable lights, cruise control, customized dashboard settings like types pressures outside tempreture etc which are available in expensive cars ",5-rating,4-rating,3-rating,5-rating,5-rating
2017 Toyota Corolla GLi Automatic 1.3 VVTi,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,4-rating,5-rating,5-rating,3-rating
2017 FAW V2 VCT-i,It's a best car I ever had. Drive is very comfortable with perfect suspension and acceleration. It's fully automatic transmission and powerful even on steep hill areas. It has very large boot and decent room in the cabin. Fuel Economy is good for short or long route. You may buy it from 850 - 900000 with very good condition. ,4-rating,4-rating,5-rating,5-rating,2-rating
2017 Toyota Corolla GLi Automatic 1.3 VVTi,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,3-rating,5-rating,5-rating,5-rating
2017 Suzuki Wagon R,interor all thing staring seets music system door roof light starting engine meter ac space seet comfart dash board about air bags about airconditionar seet adjustmment windows back space drive comfort antilock breaking system,3-rating,3-rating,4-rating,3-rating,3-rating
2017 Suzuki Vitara,Do you find this review helpful? YesNo Report (0 out of 2 people found this review helpful),3-rating,4-rating,3-rating,3-rating,5-rating
2017 Toyota Corolla Altis Grande CVT-i 1.8,"It is same as rangerover When I purchased I was confuse due to brand of Suzuki but after ride and use of it, it change my perception it is really a good stuff All needs of mine are Fulfill Every one who seen is appreciating and I am also happy with this ",4-rating,3-rating,3-rating,5-rating,3-rating
2015 Honda City,Do you find this review helpful? YesNo Report (1 out of 2 people found this review helpful),3-rating,3-rating,5-rating,5-rating,1-rating
2017 Suzuki Cultus VXL,got delivery from dealership four days ago of the face lifted model. upgrading from reborn. first impression was how easy embarking and disembarking from grande compared to reborn. the car is also very spacious in comparison. i have not pressed the pedal hard yet but sport mode with paddle shifts gives much better performance. steering is not as responsive but i do not have any issues with other things like brakes etc. comparing it with previous model one can see that the face lift has been lowered to some two inched and the side spoilers and new wheels and tires give it good grip. new front lights and bumper look sporty and the service at toyota dealership is excellent.  More ,3-rating,5-rating,5-rating,4-rating,4-rating
2013 Toyota Pixis Epoch L,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,5-rating,5-rating,3-rating,4-rating
2017 Suzuki Wagon R VXL,Fuel average high and AC not working properly. And AC not working after fourty minutes I do restart AC. And fuel is high eight km per ltr in city and on highway it's 13 km per ltr.What should I do please solve my problem. Also I do tunned it from Honda Showroom but problem not solved,5-rating,5-rating,4-rating,2-rating,5-rating
2017 Audi A3,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,4-rating,1-rating,5-rating
2015 Toyota Corolla GLi Automatic 1.3 VVTi,Aoa . I own this car ...... i purchased it last weak . It is an excellent blend of style. Luxary and economy. I drove this car ....believe me i enjoyed more then city. What a wonderfull machine it is!!! Pak suzuki has given execellent safty features in it . Ac is really coool.,5-rating,4-rating,3-rating,5-rating,5-rating
2017 Suzuki Cultus VXL,Do you find this review helpful? YesNo Report (4 out of 5 people found this review helpful),5-rating,4-rating,1-rating,4-rating,5-rating
2011 Toyota Vitz F 1.0,"in perfect condition  the car is perfectly alright , however, with AC on speed seems to be slow.  AC is chill  Fuel consumption is good, although some people say that it should give round 20 km per kilometers, whereas my toyota pixis gives 15 km per kilometer.  interior space outstanding  interior design beautiful  having equipped with an Air Compressor it gives an ease to the driver",4-rating,4-rating,2-rating,4-rating,5-rating
2011 Jeep Wrangler Sports,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,3-rating,1-rating,4-rating,3-rating
2017 Toyota Land Cruiser ZX,I bought this car a few days ago but is not really happy. before this I had a Porsche s platinum edition but this car can't be compared to it. the one I bought was applied for and wasn't accidents or reconditioned. on the other side it is a very powerful car and goes through rough and tough. ,4-rating,2-rating,2-rating,5-rating,2-rating
2015 Suzuki Hustler G Turbo,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),2-rating,2-rating,5-rating,2-rating,5-rating
1999 Suzuki Baleno,I have researched on this car it has excellent in fuel economy. One thing special about this car it is a small crossover with high ground clearance which is best for Pakistani market due bad/bumpy roads.  Suzuki Hustler won car of the year award in japan. Three main points which makes this kei car best for pakistan market:  High ground clearance and more rough and tough. Best in fuel economy like other kei cars. More powerfull compare to other kei cars because of Turbo charged engine.,2-rating,5-rating,2-rating,5-rating,4-rating
